Register;Field;Typ;Accuracy;Unit;Min;Max;Read
0635;Voltage_Bat8;U16;0,1;V;;;R
0636;Current_Bat8;I16;0,01;A;;;R
0637;Power_Bat8;I16;0,01;kW;;;R
0638;Temperature_Env_Bat8;I16;1;°C;;;R
0639;SOC_Bat8;U16;1;%;;;R
063A;SOH_Bat8;U16;1;%;;;R
063B;ChargeCycle_Bat8;U16;1;cycle;;;R
063C;;;;;;;
063D;;;;;;;
063E;;;;;;;
063F;;;;;;;
0640;AddressMask_Realtime_Input_Bat2;U64;;;;;R
0641;;;;;;;
0642;;;;;;;
0643;;;;;;;
0644;Voltage_Bat9;U16;0,1;V;;;R
0645;Current_Bat9;I16;0,01;A;;;R
0646;Power_Bat9;I16;0,01;kW;;;R
0647;Temperature_Env_Bat9;I16;1;°C;;;R
0648;SOC_Bat9;U16;1;%;;;R
0649;SOH_Bat9;U16;1;%;;;R
064A;ChargeCycle_Bat9;U16;1;cycle;;;R
064B;Voltage_Bat10;U16;0,1;V;;;R
064C;Current_Bat10;I16;0,01;A;;;R
064D;Power_Bat10;I16;0,01;kW;;;R
064E;Temperature_Env_Bat10;I16;1;°C;;;R
064F;SOC_Bat10;U16;1;%;;;R
0650;SOH_Bat10;U16;1;%;;;R
0651;ChargeCycle_Bat10;U16;1;cycle;;;R
0652;Voltage_Bat11;U16;0,1;V;;;R
0653;Current_Bat11;I16;0,01;A;;;R
0654;Power_Bat11;I16;0,01;kW;;;R
0655;Temperature_Env_Bat11;I16;1;°C;;;R
0656;SOC_Bat11;U16;1;%;;;R
0657;SOH_Bat11;U16;1;%;;;R
0658;ChargeCycle_Bat11;U16;1;cycle;;;R
0659;Voltage_Bat12;U16;0,1;V;;;R
065A;Current_Bat12;I16;0,01;A;;;R
065B;Power_Bat12;I16;0,01;kW;;;R
065C;Temperature_Env_Bat12;I16;1;°C;;;R
065D;SOC_Bat12;U16;1;%;;;R
065E;SOH_Bat12;U16;1;%;;;R
065F;ChargeCycle_Bat12;U16;1;cycle;;;R
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
0680;AddressMask_Realtime_ElectricityStatistics1;U64;;;;;R
0681;;;;;;;
0682;;;;;;;
0683;;;;;;;
0684;PV_Generation_Today;U32;0,01;kWh;;;R
0685;;;;;;;
0686;PV_Generation_Total;U32;0,1;kWh;;;R
0687;;;;;;;
0688;Load_Consumption_Today;U32;0,01;kWh;;;R
0689;;;;;;;
068A;Load_Consumption_Total;U32;0,1;kWh;;;R
068B;;;;;;;
068C;Energy_Purchase_Today;U32;0,01;kWh;;;R
068D;;;;;;;
068E;Energy_Purchase_Total;U32;0,1;kWh;;;R
068F;;;;;;;
0690;Energy_Selling_Today;U32;0,01;kWh;;;R
0691;;;;;;;
0692;Energy_Selling_Total;U32;0,1;kWh;;;R
0693;;;;;;;
0694;Bat_Charge_Today;U32;0,01;kWh;;;R
0695;;;;;;;
0696;Bat_Charge_Total;U32;0,1;kWh;;;R
0697;;;;;;;
0698;Bat_Discharge_Today;U32;0,01;kWh;;;R
0699;;;;;;;
069A;Bat_Discharge_Total;U32;0,1;kWh;;;R
069B;;;;;;;
069C;PV_Generation_Month;U32;0,1;kWh;;;R
069D;;;;;;;
069E;PV_Generation_Year;U32;0,1;kWh;;;R
069F;;;;;;;
06A0;Load_Consumption_Month;U32;0,1;kWh;;;R
06A1;;;;;;;
06A2;Load_Consumption_Year;U32;0,1;kWh;;;R
06A3;;;;;;;
06A4;Energy_Purchase_Month;U32;0,1;kWh;;;R
06A5;;;;;;;
06A6;Energy_Purchase_Year;U32;0,1;kWh;;;R
06A7;;;;;;;
06A8;Energy_Selling_Month;U32;0,1;kWh;;;R
06A9;;;;;;;
06AA;Energy_Selling_Year;U32;0,1;kWh;;;R
06AB;;;;;;;
06AC;Bat_Charge_Month;U32;0,1;kWh;;;R
06AD;;;;;;;
06AE;Bat_Charge_Year;U32;0,1;kWh;;;R
06AF;;;;;;;
06B0;Bat_Discharge_Month;U32;0,1;kWh;;;R
06B1;;;;;;;
06B2;Bat_Discharge_Year;U32;0,1;kWh;;;R
06B3;;;;;;;
06C0;AddressMask_Realtime_ClassifiedInfo1;U64;;;;;R
06C1;;;;;;;
06C2;;;;;;;
06C3;;;;;;;
06C4;GFCI;U16;1;mA;;;R
06C5;Current_Bus_Balance;I16;0,01;A;;;R
06C6;DCI_R;I16;1;mA;;;R
06C7;DCI_S;I16;1;mA;;;R
06C8;DCI_T;I16;1;mA;;;R
06C9;DCV_R;I16;1;mV;;;R
06CA;DCV_S;I16;1;mV;;;R
06CB;DCV_T;I16;1;mV;;;R
06CC;Voltage_Bus;U16;0,1;V;;;R
06CD;Voltage_Bus_P;U16;0,1;V;;;R
06CE;Voltage_Bus_N;U16;0,1;V;;;R
06CF;Voltage_Bus_LLC;U16;0,1;V;;;R
06D0;Current_BuckBoost;I16;0,01;A;;;R
06D1;Voltage_Bus_P_Half;U16;0,1;V;;;R
06D2;Voltage_Bus_N_Half;U16;0,1;V;;;R
06D3;FlyingCap_Voltage1;U16;0,1;V;;;R
06D4;FlyingCap_Voltage2;U16;0,1;V;;;R
06D5;FlyingCap_Voltage3;U16;0,1;V;;;R
06D6;FlyingCap_Voltage4;U16;0,1;V;;;R
06D7;FlyingCap_Voltage5;U16;0,1;V;;;R
06D8;FlyingCap_Voltage6;U16;0,1;V;;;R
06D9;FlyingCap_Voltage7;U16;0,1;V;;;R
06DA;FlyingCap_Voltage8;U16;0,1;V;;;R
06DB;FlyingCap_Voltage9;U16;0,1;V;;;R
06DC;FlyingCap_Voltage10;U16;0,1;V;;;R
06DD;FlyingCap_Voltage11;U16;0,1;V;;;R
06DE;FlyingCap_Voltage12;U16;0,1;V;;;R
06DF;FlyingCap_Voltage13;U16;0,1;V;;;R
06E0;FlyingCap_Voltage14;U16;0,1;V;;;R
06E1;FlyingCap_Voltage15;U16;0,1;V;;;R
06E2;FlyingCap_Voltage16;U16;0,1;V;;;R
06E3;Internal_Info1 -- 10;U16;0,1;V;;;R
06E4;Internal_Info2 -- 10;U16;0,1;V;;;R
06E5;Internal_Info3 -- 10;U16;0,1;V;;;R
06E6;Internal_Info4 -- 10;U16;0,1;V;;;R
06E7;Internal_Info5 -- 10;U16;0,1;V;;;R
06E8;Internal_Info6 -- 10;U16;0,1;V;;;R
06E9;Internal_Info7 -- 10;U16;0,1;V;;;R
06EA;Internal_Info8 -- 10;U16;0,1;V;;;R
06EB;Internal_Info9 -- 10;U16;0,1;V;;;R
06EC;Internal_Info10 -- 10;U16;0,1;V;;;R
06ED;RatedPower_Inverter;U16;0.1kW;kW;;;R
06EE;IVPoints_Effec_Num;U16;1;;1;150;R
0700;AddressMask_Realtime_CombinerInfo1;U64;;;;;R
0701;;;;;;;
0702;;;;;;;
0703;;;;;;;
0704;Voltage_Group1;U16;0,1;V;;;R
0705;Current_Group1_Branch1;U16;0,01;A;;;R
0706;Current_Group1_Branch2;U16;0,01;A;;;R
0707;Voltage_Group2;U16;0,1;V;;;R
0708;Current_Group2_Branch1;U16;0,01;A;;;R
0709;Current_Group2_Branch2;U16;0,01;A;;;R
070A;Voltage_Group3;U16;0,1;V;;;R
070B;Current_Group3_Branch1;U16;0,01;A;;;R
070C;Current_Group3_Branch2;U16;0,01;A;;;R
070D;Voltage_Group4;U16;0,1;V;;;R
070E;Current_Group4_Branch1;U16;0,01;A;;;R
070F;Current_Group4_Branch2;U16;0,01;A;;;R
0710;Voltage_Group5;U16;0,1;V;;;R
0711;Current_Group5_Branch1;U16;0,01;A;;;R
0712;Current_Group5_Branch2;U16;0,01;A;;;R
0713;Voltage_Group6;U16;0,1;V;;;R
0714;Current_Group6_Branch1;U16;0,01;A;;;R
0715;Current_Group6_Branch2;U16;0,01;A;;;R
0716;Voltage_Group7;U16;0,1;V;;;R
0717;Current_Group7_Branch1;U16;0,01;A;;;R
0718;Current_Group7_Branch2;U16;0,01;A;;;R
0719;Voltage_Group8;U16;0,1;V;;;R
071A;Current_Group8_Branch1;U16;0,01;A;;;R
071B;Current_Group8_Branch2;U16;0,01;A;;;R
071C;Voltage_Group9;U16;0,1;V;;;R
071D;Current_Group9_Branch1;U16;0,01;A;;;R
071E;Current_Group9_Branch2;U16;0,01;A;;;R
071F;Voltage_Group10;U16;0,1;V;;;R
0720;Current_Group10_Branch1;U16;0,01;A;;;R
0721;Current_Group10_Branch2;U16;0,01;A;;;R
0722;Voltage_Group11;U16;0,1;V;;;R
0723;Current_Group11_Branch1;U16;0,01;A;;;R
0724;Current_Group11_Branch2;U16;0,01;A;;;R
0725;Voltage_Group12;U16;0,1;V;;;R
0726;Current_Group12_Branch1;U16;0,01;A;;;R
0727;Current_Group12_Branch2;U16;0,01;A;;;R
0728;Voltage_Group13;U16;0,1;V;;;R
0729;Current_Group13_Branch1;U16;0,01;A;;;R
072A;Current_Group13_Branch2;U16;0,01;A;;;R
072B;Voltage_Group14;U16;0,1;V;;;R
072C;Current_Group14_Branch1;U16;0,01;A;;;R
072D;Current_Group14_Branch2;U16;0,01;A;;;R
072E;Voltage_Group15;U16;0,1;V;;;R
072F;Current_Group15_Branch1;U16;0,01;A;;;R
0730;Current_Group15_Branch2;U16;0,01;A;;;R
0731;Voltage_Group16;U16;0,1;V;;;R
0732;Current_Group16_Branch1;U16;0,01;A;;;R
0733;Current_Group16_Branch2;U16;0,01;A;;;R
0740;AddressMask_Realtime_CombinerInfo2;U64;;;;;R
0741;;;;;;;
0742;;;;;;;
0743;;;;;;;
0744;Current_Group1_Branch3;U16;0,01;A;;;R
0745;Current_Group1_Branch4;U16;0,01;A;;;R
0746;Current_Group2_Branch3;U16;0,01;A;;;R
